DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,WCUT,GOR,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2014-05-16,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3273.519232180851,225.8784215,2278.6621969399757,,46.34614208333333,%,994.857035240875,119.079958625,582.155554932,0.0,799.8597822868836,4629.8588819999995,3.703237917375514,0.0,,production,OP
2014-05-17,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3243.08609058125,225.999846125,2267.616979774125,,47.08721125,%,975.469110807125,129.057392375,563.32544664625,0.0,789.450438317434,4924.158624,3.887379184061372,0.0,,production,OP
2014-05-18,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3192.314840685875,226.20025323404255,2243.66680950975,,47.769806875,%,948.6480311761251,128.896724,536.496822017625,0.0,789.624141943917,5249.970264,4.1455032649420795,0.0,,production,OP
2014-05-19,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3197.9492282424258,226.14876125,2250.6431672045505,,47.13594875,%,947.306061037875,132.35649425,535.2779800765,0.0,779.5327754006408,4961.39424,3.8675694217639527,0.0,,production,OP
2014-05-20,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3193.0676543816253,226.145567,2251.53380358125,,47.14246875,%,941.5338508003751,132.130623875,529.524815141375,0.0,784.1343407253014,4925.290787999999,3.8620896449287794,0.0,,production,OP
2014-05-21,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3191.791712792875,226.132667375,2253.521866641875,,46.524590833333335,%,938.2698461509999,126.025514,526.210310073375,0.0,792.5751658349766,4678.164546,3.7077970408492575,0.0,,production,OP
2014-05-22,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3190.583951150625,226.1342615,2256.019073515,,46.2889975,%,934.564877635625,128.590038125,522.41097620925,0.0,817.790683854168,4625.581818,3.782757718165626,0.0,,production,OP
2014-05-23,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3188.847906723125,226.16099337500003,2256.386252320125,,46.284226875,%,932.461654403,120.29536437499999,520.295932379625,0.11158813680937577,816.8366240168114,4672.629521999999,3.8167749240317668,586.901238,,production,OP
2014-05-24,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3189.719071426875,226.189364,2259.006569260625,,46.24215791666666,%,930.71250216625,130.4432375,518.521144676375,0.11856522149806369,815.1592655420533,4695.587291999999,3.8276514882353183,631.621716,,production,OP
2014-05-25,NO 15/9-F-1 C,7405,15/9-F-1 C,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,3190.5038992395002,226.225017875,2261.2068773045003,,46.261677291666665,%,929.2970219350001,131.416095875,517.36958828075,0.11861481011766363,791.5030597387572,4720.935186,3.7366346445473586,635.3326979999999,,production,OP
