DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,AVG_FL_PRESS,RATIO_CHOKE_PRESS,WCUT,GOR,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,WELL_TYPE
2012-10-09,15/9-F-14,24.0,100.0,490.03209782912495,62.378109229375,427.65398859974994,0.8727060747536453,61.38729815298193,853.834194972358,9788.18676,8.357488562463693,15561.468383999998,OP
2012-10-10,15/9-F-14,24.0,100.0,490.712114535375,62.948265693875,427.7638488415,0.8717205794817664,62.537138719005604,858.48356155616,9501.183185999998,8.156609580514782,15860.422578,OP
2012-10-11,15/9-F-14,24.0,100.0,495.39825907750003,66.766116076,428.6321430015,0.8652273905840369,62.777206495799454,850.225667946138,9653.58504,8.207725788708844,16281.021503999998,OP
2012-10-12,15/9-F-14,24.0,75.135501875,547.153824468,119.19890921287501,427.954915255125,0.7821473525680412,60.37740363764704,851.9253413338743,8332.286753999999,7.0984862369931685,12696.841871999999,OP
2012-10-20,15/9-F-14,24.0,46.015125833333336,640.067617805875,213.43716539374998,426.630452412125,0.6665396600980945,59.48964476876802,846.9088112826055,5607.734087999999,4.749239410457025,8234.983548,OP
2012-10-21,15/9-F-14,24.0,48.06322083333333,615.275867568125,188.60789261675,426.667974951375,0.6934580038670755,59.647915027537366,851.1174876464921,5935.621362,5.05191114124629,8773.95651,OP
2012-10-22,15/9-F-14,24.0,47.91420291666667,619.810214735125,194.515807054625,425.2944076805,0.6861687619366663,67.03404571667785,853.5874604366592,8618.409756,7.356566496626567,17524.95525,OP
2012-10-23,15/9-F-14,24.0,47.228458125,629.429672744375,198.48318254987498,430.94649019450003,0.6846618595458507,66.15593924701925,857.5658341856879,8605.578564,7.379850159887134,16821.566916,OP
2012-10-24,15/9-F-14,24.0,47.147513958333334,629.347508717375,197.307181208,432.04032750937506,0.6864892949046281,66.06412813777577,851.4613197732715,8646.084875999999,7.361806839390681,16831.630596,OP
2012-10-25,15/9-F-14,24.0,47.254032708333334,626.4549584724999,194.40601328862502,432.04894518387493,0.6896727998407901,66.30484313550676,856.4907267618513,8557.713185999999,7.329601986096617,16839.744437999998,OP
2012-10-26,15/9-F-14,24.0,48.124952291666666,611.988714249625,180.234540671,431.754173578625,0.705493685627863,66.22437882543821,860.1961174204251,8458.52304,7.275988678119211,16584.755945999997,OP
2012-10-27,15/9-F-14,24.0,49.801480833333336,593.4595658571251,161.806057715375,431.6535081417501,0.7273511675868248,65.95516366931055,856.3312106925539,8461.03896,7.245451736333667,16391.596188,OP
2012-10-28,15/9-F-14,24.0,51.4188048,575.18451521748,143.29479698028,431.8897182372,0.7508716017396616,65.69512669406399,860.0011889813513,8710.42953,7.490979752338273,16680.801192,OP
2012-10-29,15/9-F-14,24.0,53.079665625,564.61500367725,132.939365154,431.67563852325,0.7645486494546079,65.99844861021332,858.8471026231838,8271.149898,7.103653125259342,16054.651601999998,OP
2012-10-30,15/9-F-14,24.0,54.051226875,557.274286032,125.72204463050001,431.55224140149994,0.7743982670980789,67.67613492264772,861.7256641964349,8016.538793999999,6.908057216816137,16784.142605999998,OP
2012-10-31,15/9-F-14,24.0,55.7420325,548.475214318375,116.674154184625,431.80106013375007,0.7872754298849706,67.92338258907702,865.8026726794227,7940.935398,6.875283091163035,16815.214217999997,OP
2012-11-01,15/9-F-14,24.0,57.064944375,543.848526291375,111.837801642125,432.01072464925005,0.7943585461106754,68.1109978468492,865.7202323651265,7890.1767119999995,6.8306856165145495,16852.449834,OP
2012-11-02,15/9-F-14,24.0,57.35145125,540.2901549344999,108.611806013625,431.6783489208749,0.7989750414260424,69.56940858231894,867.4732445944633,7783.375908,6.751870352811136,17794.095792,OP
